sample,Animal Parasite,Endophyte,Endophyte- Plant Pathogen- Lichen Parasite,Endophyte- Sooty Mold,Endophyte- Undefined Saprobe,Endophyte- Undefined Saprobe- Plant Pathogen- Lichen Parasite,Endophyte- Wood Saprobe- Plant Pathogen,Endophyte- Wood Saprobe- Plant Pathogen- Fungal Parasite- Lichen Parasite,Lichen,Litter Saprobe,Litter Saprobe- Animal Pathogen,Mycoparasite,Plant Pathogen,Undefined Saprobe,Undefined Saprobe- Plant Pathogen,Undefined Saprobe- Plant Pathogen- Animal Pathogen,Wood Saprobe,Wood Saprobe- Litter Saprobe- Plant Pathogen,Wood Saprobe- Plant Pathogen
9.1,308,29,11,4422,5,0,15,4,306,116,24,96,2699,883,8,62,11,15,40
11.1,4,1,6,15,42,23944,0,3,26,0,1,3,81,11,12,2,228,12,2
6.2,415,7,289,4466,1,1,1,22,108,69,1,77,3300,1906,2,31,0,192,1
5.3,234,34,28,1166,4,0,45,19,272,27,30,59,5358,1713,4,27,5,10,17
6.3,19,0,18,40,127,6799,0,0,13,2,0,33,256,19385,4,5,255,0,2
6.4,155,6,166,10049,0,0,4,24,107,53,1,47,3875,743,0,48,2,190,0
9.4,138,25,4,4301,2,0,40,2,178,80,17,88,4527,513,4,58,15,93,10
10.4,12,82,29,982,6,0,38,22,866,64,6,143,1989,2474,3,352,9,0,25
11.4,8,47,73,2455,0,0,25,27,485,26,0,28,3552,1735,4,180,1,0,36
5.5,187,27,1,3018,8,1,58,5,217,75,14,102,9479,680,2,35,24,19,8
6.5,166,6,170,10682,1,1,7,43,114,44,2,46,4819,475,4,54,7,138,3
10.5,7,49,84,3974,25,0,33,60,872,36,0,26,2641,1456,1,82,6,1,6
11.5,21,19,17,741,2,0,17,6,463,52,9,140,2369,2676,6,101,8,2,375
5.6,188,30,12,2260,3,0,41,13,159,72,45,170,11646,1017,6,53,6,11,11
6.6,91,41,10,6944,3,0,9,9,248,47,8,35,2648,530,11,35,19,76,7
9.6,131,37,5,4996,0,0,50,1,181,106,14,112,4698,342,7,152,15,65,13
10.6,49,29,16,2406,0,0,15,7,395,140,16,200,2041,1745,16,247,31,15,14
11.6,14,93,21,4966,27,4,5,14,395,95,6,63,2274,1079,2,107,12,35,3
5.7,57,34,12,6363,2,1,37,11,261,32,9,23,4354,799,13,20,6,7,14
6.7,85,44,18,6642,4,1,20,13,362,35,10,35,4242,344,12,38,14,163,8
9.7,86,24,27,6256,10,0,35,27,391,44,7,67,3132,513,12,99,18,38,11
10.7,75,42,4,2567,1,5,41,12,750,140,13,161,3757,1183,10,337,10,10,17
5.8,90,21,32,4430,0,0,55,26,1062,41,12,42,6939,653,5,32,17,5,20
6.8,87,15,12,3549,2,0,36,7,742,45,5,45,7831,476,6,72,12,76,43
10.8,31,19,21,4294,2,1,30,10,439,55,4,42,3220,645,9,270,16,14,24
5.9,41,44,13,2584,0,0,50,10,561,19,7,41,9079,555,30,52,8,0,23
6.9,198,15,38,3572,0,3,29,22,1184,135,7,84,9063,215,4,60,3,38,10
9.9,59,12,40,5897,2,0,17,23,444,44,6,23,2421,418,9,115,7,0,12
